prefecture,date,city,location,longitude,latitude
山梨県,2024-07-31,富士河口湖町,浅川,138.776489,35.508926
山梨県,2024-08-03,富士河口湖町,河口,138.779053,35.543289
静岡県,2024-08-03,静岡市葵区,井川,138.231674,35.214729
山梨県,2024-08-03,大月市,真木,138.940002,35.610554
静岡県,2024-08-05,静岡市清水区,布沢,138.444336,35.104893
神奈川県,2024-08-05,秦野市,小蓑毛,139.238525,35.410603
静岡県,2024-08-08,静岡市葵区,俵峰,138.385132,35.113598
静岡県,2024-08-08,静岡市葵区,長熊,138.315811,35.136154
神奈川県,2024-08-08,伊勢原市,子易,139.27034,35.417934
山梨県,2024-08-08,北杜市,白州町横手,138.28743,35.773617
静岡県,2024-08-09,川根本町,千頭,138.079529,35.226582
神奈川県,2024-08-09,愛川町,八菅山,139.322449,35.512508
神奈川県,2024-08-10,,飼養の鶏に強い執着があり、人身被害のおそれがあると判断したため、,,
神奈川県,2024-08-10,愛川町,半原,139.264832,35.529568
静岡県,2024-08-10,川根本町,千頭,138.079529,35.226582
神奈川県,2024-08-10,愛川町,八菅山,139.322449,35.512508
山梨県,2024-08-11,丹波山村,熊倉,138.91777,35.791737
山梨県,2024-08-11,富士河口湖町,船津,138.758514,35.475739
山梨県,2024-08-11,富士河口湖町,船津,138.758514,35.475739
山梨県,2024-08-12,北杜市,白州町横手,138.28743,35.773617
山梨県,2024-08-12,富士河口湖町,船津,138.758514,35.475739
山梨県,2024-08-12,富士河口湖町,船津,138.758514,35.475739
山梨県,2024-08-13,上野原市,秋山,139.067337,35.568935
山梨県,2024-08-13,北杜市,白州町横手,138.28743,35.773617
山梨県,2024-08-13,甲州市,塩山上萩原,138.82402,35.731625
静岡県,2024-08-14,富士宮市,猪之頭,138.555908,35.367573
神奈川県,2024-08-15,伊勢原市,大山,139.246063,35.42717
神奈川県,2024-08-15,伊勢原市,子易,139.27034,35.417934
静岡県,2024-08-15,川根本町,下泉,138.105927,35.015862
山梨県,2024-08-15,笛吹市,芦川町上芦川,138.714813,35.549503
山梨県,2024-08-15,北杜市,武川町山高,138.33902,35.772934
山梨県,2024-08-15,大月市,梁川町立野,139.023071,35.594086
山梨県,2024-08-15,大月市,賑岡町強瀬,138.949844,35.618004
山梨県,2024-08-15,富士河口湖町,富士ヶ嶺,138.626892,35.414104
